BattlefyName,IGN,Pokepaste
LeviathanDrake,Lore,"=HYPERLINK(""https://pokepast.es/12e224736f33dc1e"")"
おヌメラ,おヌメラ,"=HYPERLINK(""https://pokepast.es/cf882fb6f958029f"")"
hiramidas,Hiramidas,"=HYPERLINK(""https://pokepast.es/9566b9eb5abd62f4"")"
agonvictor,Víctor,"=HYPERLINK(""https://pokepast.es/65ffbcef15e940d0"")"
sleepy joe,Sleepy joe,"=HYPERLINK(""https://pokepast.es/e02c66881b67fa02"")"
jorisvanschouwenburg,Joris,"=HYPERLINK(""https://pokepast.es/0372570b5d042328"")"
s7cmoore21,Pork,"=HYPERLINK(""https://pokepast.es/52d964b032b1859f"")"
matteovelata,Thunderman,"=HYPERLINK(""https://pokepast.es/6983be0e70d258ab"")"
Lushelldo,plastic love,"=HYPERLINK(""https://pokepast.es/ca891d8812a0a45c"")"
professorragna,Professor Ragna,"=HYPERLINK(""https://pokepast.es/63bdc11a53325b2a"")"
Cactusmax,Cactusmax,"=HYPERLINK(""https://pokepast.es/36dc54a2aa316d3a"")"
alexbambico,Alex,"=HYPERLINK(""https://pokepast.es/cd68c8011f349c4e"")"
bsmiffy,B,"=HYPERLINK(""https://pokepast.es/57e96fb55262e475"")"
yoshiskill,Yoshi,"=HYPERLINK(""https://pokepast.es/17777e37bf000046"")"
Fenoz1,Noel,"=HYPERLINK(""https://pokepast.es/216e798b82ebb92c"")"
Peters1993,Peters,"=HYPERLINK(""https://pokepast.es/c611e1385da96b14"")"
Dragobolide,Scarlet,"=HYPERLINK(""https://pokepast.es/c31883e0c4c1f259"")"
Yuary,CRYMAX,"=HYPERLINK(""https://pokepast.es/308b02d1ba49cfff"")"
madelinestarling,Madeline,"=HYPERLINK(""https://pokepast.es/01c1ecb7a54b64db"")"
ege1211,えげ,"=HYPERLINK(""https://pokepast.es/33ec9a936b5d566e"")"
bbhhbtf,JMR,"=HYPERLINK(""https://pokepast.es/ea7e49d71a44fcc9"")"
Koala-T,Koala-T Kost,"=HYPERLINK(""https://pokepast.es/2d142c98ee7661ff"")"
PresPres,Pres,"=HYPERLINK(""https://pokepast.es/c145f49c495b7c45"")"
RocksTheRock,Rocks,"=HYPERLINK(""https://pokepast.es/06a266fa6239951a"")"
shizu11783,シズ,"=HYPERLINK(""https://pokepast.es/fd03a3f38a81c801"")"
GakkōWhotaku,がをた,"=HYPERLINK(""https://pokepast.es/15f9b175d71436b6"")"
notCage,notCage,"=HYPERLINK(""https://pokepast.es/6a6aa2713f74ec89"")"
wei821101,YuWei,"=HYPERLINK(""https://pokepast.es/7ba882da3492af9b"")"
Chuggle,Chuggle,"=HYPERLINK(""https://pokepast.es/e391a7249ac11572"")"
延髄掌底拳,エニグマ,"=HYPERLINK(""https://pokepast.es/f5e4991051306a7e"")"
teru_gift,スカーレット,"=HYPERLINK(""https://pokepast.es/afa52aa17260d8c5"")"
cooneyshaun832,Nicole,"=HYPERLINK(""https://pokepast.es/25cce23d038804c0"")"
DubiousBulb1033,Dubious,"=HYPERLINK(""https://pokepast.es/97bab9bc6e917f0e"")"
MkYk,노조미,"=HYPERLINK(""https://pokepast.es/23641927dc6a9e0d"")"
BigMikeOG,BIG MIKE,"=HYPERLINK(""https://pokepast.es/fbf60881e950b44a"")"
lorenzobrilli94,XeolnorzVGC,"=HYPERLINK(""https://pokepast.es/d7cbf41c1a9b575c"")"
Mr Frey,Javi,"=HYPERLINK(""https://pokepast.es/06feeca5cb312812"")"
hdai2014,kpachi,"=HYPERLINK(""https://pokepast.es/60cbe28dc8cf7143"")"
Andrès,Andre?,"=HYPERLINK(""https://pokepast.es/e894b37101755e12"")"
stellar grizzly,Guillem,"=HYPERLINK(""https://pokepast.es/d26d1dfe864f8d28"")"
yunyan119,むっつ,"=HYPERLINK(""https://pokepast.es/3ecb601a0bb0627a"")"
JammJGM,Jamm,"=HYPERLINK(""https://pokepast.es/bcc76bc9a7569dd7"")"
evni37,evni,"=HYPERLINK(""https://pokepast.es/117676cbacc2d3a9"")"
DandyNASU,らぁら,"=HYPERLINK(""https://pokepast.es/83d103de88127653"")"
motochikanabeshima,エルム,"=HYPERLINK(""https://pokepast.es/0149b60e8fde1f53"")"
dolphinslayer,Cameron,"=HYPERLINK(""https://pokepast.es/0ab6b3874da248dc"")"
hijosehi1521,hijosehi,"=HYPERLINK(""https://pokepast.es/517bb5401ce439af"")"
