BattlefyName,IGN,Pokepaste
connoralanscott97,Connor,"=HYPERLINK(""Calyrex-Ice @ Clear Amulet   Ability: As One (Glastrier)   Level: 50   Tera Type: Fire    - Protect   - Trick Room   - Glacial Lance   - High Horsepower    Raging Bolt @ Assault Vest   Ability: Protosynthesis   Level: 50   Tera Type: Electric    - Thunderbolt   - Draco Meteor   - Snarl   - Thunderclap    Pelipper @ Focus Sash   Ability: Drizzle   Level: 50   Tera Type: Ground  - Tailwind   - Wide Guard   - Hurricane   - Weather Ball    Incineroar @ Safety Goggles   Ability: Intimidate   Level: 50 Tera Type: Ghost    - Fake Out   - Parting Shot   - Will-O-Wisp   - Knock Off    Urshifu-Rapid-Strike @ Mystic Water   Ability: Unseen Fist   Level: 50   Tera Type: Water    - Detect   - Coaching   - Surging Strikes   - Close Combat    Landorus @ Life Orb   Ability: Sheer Force   Level: 50   Tera Type: Poison    IVs: 0 Atk   - Protect   - Sludge Bomb   - Sandsear Storm   - Earth Power"")"
azunkurone,Azun,"=HYPERLINK(""https://pokepast.es/3519f3556487bcd9"")"
johnpeezy13r,John Paul,"=HYPERLINK(""https://pokepast.es/8081886c960a95cd"")"
mardays24,Chef,"=HYPERLINK(""https://pokepast.es/d6e82b90c591b706"")"
njpbest,Natalija,"=HYPERLINK(""https://pokepast.es/d294b6373c18f831"")"
BelugaVGC,Beluga,"=HYPERLINK(""https://pokepast.es/3e825bfb7e01d906"")"
mattytaxes,Matt,"=HYPERLINK(""https://pokepast.es/b379f1baa56be4b2"")"
Dhonwolf,Dhonwolf,"=HYPERLINK(""https://pokepast.es/0473273d70781e9b"")"
alexandercanseco1994,cansecochann,"=HYPERLINK(""https://pokepast.es/8980a7ad79add2c1"")"
arxnturtlevgc,ArxnTurtle,"=HYPERLINK(""https://pokepast.es/f5b6afe4dea6d8d9"")"
lucadonkey9,0-x in swiss,"=HYPERLINK(""https://pokepast.es/5a1013e7b87b0067"")"
Marlox,Marlox,"=HYPERLINK(""https://pokepast.es/4e68c490042d4329"")"
TamalitoDeElote,KENNETH,"=HYPERLINK(""https://pokepast.es/3ba828c6f91b1762"")"
kangsion55,Scarlet,"=HYPERLINK(""https://pokepast.es/2e1d9f45d43af702"")"
franciscoj2herrera,BIO,"=HYPERLINK(""https://pokepast.es/6fd82cbe8d03ea41"")"
multiboyvgc,Multi boy,"=HYPERLINK(""https://pokepast.es/4fae2e60bc8d8944"")"
PhMillerVGC,Phil,"=HYPERLINK(""https://pokepast.es/7d33cf3b8f61c078"")"
perez7david77,David,"=HYPERLINK(""https://pokepast.es/039f2abd07168f06"")"
Ad0,東雲青空,"=HYPERLINK(""https://pokepast.es/b29230a2d9f87f19"")"
gustavbmo-1,Ricky,"=HYPERLINK(""https://pokepast.es/d84a4d7db997201e"")"
kirancitybeach,mev lad,"=HYPERLINK(""https://pokepast.es/82803fd78072b86e"")"
MandoVgc,Mando,"=HYPERLINK(""https://pokepast.es/dff4d75e9dd895e1"")"
jacklloyd2735,PokePhysio,"=HYPERLINK(""https://pokepast.es/ead617e4955504a2"")"
200VGC,.,"=HYPERLINK(""."")"
masatama83,バイオレット,"=HYPERLINK(""https://pokepast.es/50d2f44071cb023b"")"
steevefalleroni97,Black,"=HYPERLINK(""https://pokepast.es/94ac390d9e9e8f0a"")"
AndrewsWho,Andrews,"=HYPERLINK(""https://pokepast.es/f71be0cad1a1205a"")"
fralildarkrai,Lil Darkrai,"=HYPERLINK(""https://pokepast.es/0c898625392d1941"")"
samuelheadey93,Sam,"=HYPERLINK(""https://pokepast.es/4f40c4a551af78b9"")"
tomwinter111,TZ111,"=HYPERLINK(""https://pokepast.es/7880c64228880e36"")"
Pepelu99,Jose Luis,"=HYPERLINK(""https://pokepast.es/3782270a3362bd78"")"
☆Darien★,☆Darien★,"=HYPERLINK(""https://pokepast.es/c9084368333aaf25"")"
bennyvasquez87,Benny,"=HYPERLINK(""https://pokepast.es/ca6c1a9217968ea7"")"
eughe,Eughe,"=HYPERLINK(""https://pokepast.es/363cc267e58769cd"")"
AuraRayquaza,Taran,"=HYPERLINK(""https://pokepast.es/1a34f17a6e38e649"")"
Genius_,Genius,"=HYPERLINK(""https://pokepast.es/1fd5a8fc9b056913"")"
mariagraslozano24,Mari,"=HYPERLINK(""https://pokepast.es/fe025c585e1e6564"")"
Camikasa,Miku,"=HYPERLINK(""https://pokepast.es/eae92b5fd9142869"")"
ryan99ochsner,Ryan,"=HYPERLINK(""https://pokepast.es/ea137434070876a9"")"
Ebibi,Ebibi,"=HYPERLINK(""https://pokepast.es/1d247e225bec40c8"")"
